id,language,text,word,complexity
en_100,romanian,"Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.",gimnastica,0.0
en_101,romanian,"Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.",amănunțit,0.0
en_102,romanian,"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",răsunătoare,0.1
en_103,romanian,"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",dintre,0.0
en_104,romanian,"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",susținătorii,0.0
en_105,romanian,Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,font,0.3
en_106,romanian,Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,descărca,0.0
en_107,romanian,Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,zipuit,0.5
en_108,romanian,"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",empirică,0.4
en_109,romanian,"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",atribuită,0.1
en_110,romanian,"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",pur,0.0
en_111,romanian,"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",egal,0.0
en_112,romanian,"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",alegători,0.0
en_113,romanian,"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",aproximativ,0.0
en_114,romanian,"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",potrivite,0.0
en_115,romanian,"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",Fonturile,0.1
en_116,romanian,"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",simple,0.0
en_117,romanian,"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",fermă,0.2
en_118,romanian,"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",loialitate,0.0
en_119,romanian,"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",moderată,0.2
en_120,romanian,"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",comedii,0.0
en_121,romanian,"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",emisiuni,0.0
en_122,romanian,"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",divertisment,0.0
en_123,romanian,Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,unealtă,0.0
en_124,romanian,Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,găurire,0.0
en_125,romanian,Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,blocate,0.0
en_126,romanian,Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,oferirea,0.0
en_127,romanian,Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,alăture,0.0
en_128,romanian,Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,parteneri,0.0
en_129,romanian,"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",cămine,0.0
en_130,romanian,"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",membri,0.0
en_131,romanian,"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",numărul,0.0
en_132,romanian,"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",zoom,0.2
en_133,romanian,"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",motorizate,0.3
en_134,romanian,"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",focală,0.6
en_135,romanian,"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",gradienții,0.8
en_136,romanian,"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",bula,0.0
en_137,romanian,"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",separe,0.0
en_138,romanian,"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",selectați,0.0
en_139,romanian,"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",continuat,0.0
en_140,romanian,"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",negocia,0.0
en_141,romanian,Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,transformări,0.1
en_142,romanian,Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,efectuate,0.0
en_143,romanian,Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,pregăti,0.0
en_144,romanian,Exercițiile și secțiunile de recapitulare contribuie în mod ideal la un model de repetiție conceput.,contribuie,0.0
en_145,romanian,Exercițiile și secțiunile de recapitulare contribuie în mod ideal la un model de repetiție conceput.,ideal,0.1
en_146,romanian,Exercițiile și secțiunile de recapitulare contribuie în mod ideal la un model de repetiție conceput.,repetiție,0.1
en_147,romanian,"Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat, care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați de energie RF, în special în timpul căldurii intense de vară și a soarelui.",deshidratat,0.2
en_148,romanian,"Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat, care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați de energie RF, în special în timpul căldurii intense de vară și a soarelui.",wați,0.3
en_149,romanian,"Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat, care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați de energie RF, în special în timpul căldurii intense de vară și a soarelui.",intense,0.1
en_150,romanian,"El crede că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral să îi tolereze pentru că sunt mai slabi decât el.",tolereze,0.1
en_151,romanian,"El crede că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral să îi tolereze pentru că sunt mai slabi decât el.",moral,0.1
en_152,romanian,"El crede că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral să îi tolereze pentru că sunt mai slabi decât el.",crede,0.0
en_153,romanian,"A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul nedistins de caporal.",gradul,0.2
en_154,romanian,"A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul nedistins de caporal.",nedistins,0.2
en_155,romanian,"A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul nedistins de caporal.",prestigioasa,0.0
en_156,romanian,"De asemenea, a fost responsabil de contrabandă cu droguri și de crime și a mituit atât poliția, cât și politicieni importanți.",mituit,0.0
en_157,romanian,"De asemenea, a fost responsabil de contrabandă cu droguri și de crime și a mituit atât poliția, cât și politicieni importanți.",droguri,0.0
en_158,romanian,"De asemenea, a fost responsabil de contrabandă cu droguri și de crime și a mituit atât poliția, cât și politicieni importanți.",poliția,0.0
en_159,romanian,"Un model de spidering intens poate duce la blocarea accesului la site, cu prejudicii, a spider-ului sau a IP-ului dumneavoastră.",blocarea,0.0
en_160,romanian,"Un model de spidering intens poate duce la blocarea accesului la site, cu prejudicii, a spider-ului sau a IP-ului dumneavoastră.",spidering,1.0
en_161,romanian,"Un model de spidering intens poate duce la blocarea accesului la site, cu prejudicii, a spider-ului sau a IP-ului dumneavoastră.",prejudicii,0.7
en_162,romanian,"Cu toate acestea, dacă programul este un fel de editor care rulează pe un desktop, este posibil să doriți să oferiți operatorului opțiunea de a salva informațiile introduse cu trudă în loc să iasă din program.",iasă,0.0
en_163,romanian,"Cu toate acestea, dacă programul este un fel de editor care rulează pe un desktop, este posibil să doriți să oferiți operatorului opțiunea de a salva informațiile introduse cu trudă în loc să iasă din program.",salva,0.0
